date,channel,campaign_name,campaign_type,target_category,spend,impressions,clicks
2024-10-05 11:48:19.990260,Social Media,Social Media Campaign October,Conversion,Beauty & Personal Care,165.5,3132,70
2024-10-06 11:48:19.990260,Paid Search,Paid Search Campaign October,Conversion,Home & Living,57.96,909,23
2024-10-06 11:48:19.990260,Display Ads,Display Ads Campaign October,Retargeting,Apparel,37.05,1149,32
2024-10-07 11:48:19.990260,Paid Search,Paid Search Campaign October,Conversion,Beauty & Personal Care,164.0,1611,78
2024-10-08 11:48:19.990260,Paid Search,Paid Search Campaign October,Retargeting,Electronics,147.01,1290,36
2024-10-08 11:48:19.990260,Social Media,Social Media Campaign October,Retargeting,Apparel,229.24,6010,256
2024-10-08 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Awareness,Electronics,52.01,6433,363
2024-10-09 11:48:19.990260,Paid Search,Paid Search Campaign October,Conversion,Apparel,79.12,950,38
2024-10-09 11:48:19.990260,Social Media,Social Media Campaign October,Retargeting,Electronics,46.12,4499,52
2024-10-09 11:48:19.990260,Display Ads,Display Ads Campaign October,Awareness,Electronics,37.29,1669,84
2024-10-10 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign October,Retargeting,Electronics,99.52,1562,59
2024-10-12 11:48:19.990260,Paid Search,Paid Search Campaign October,Retargeting,Electronics,94.31,987,41
2024-10-12 11:48:19.990260,Display Ads,Display Ads Campaign October,Conversion,Electronics,80.81,2710,143
2024-10-12 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Retargeting,Electronics,16.94,4177,103
2024-10-14 11:48:19.990260,Paid Search,Paid Search Campaign October,Awareness,Food & Beverages,142.55,2283,52
2024-10-14 11:48:19.990260,Display Ads,Display Ads Campaign October,Retargeting,Electronics,150.32,4047,95
2024-10-15 11:48:19.990260,Social Media,Social Media Campaign October,Conversion,Food & Beverages,54.5,4662,74
2024-10-15 11:48:19.990260,Display Ads,Display Ads Campaign October,Conversion,Food & Beverages,212.79,3879,217
2024-10-16 11:48:19.990260,Paid Search,Paid Search Campaign October,Conversion,Apparel,109.44,980,42
2024-10-16 11:48:19.990260,Display Ads,Display Ads Campaign October,Retargeting,Beauty & Personal Care,27.48,3085,21
2024-10-16 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign October,Conversion,Home & Living,22.23,3597,26
2024-10-18 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Conversion,Apparel,39.81,1538,55
2024-10-18 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign October,Retargeting,Food & Beverages,98.68,9082,143
2024-10-20 11:48:19.990260,Display Ads,Display Ads Campaign October,Awareness,Apparel,56.94,1962,55
2024-10-21 11:48:19.990260,Paid Search,Paid Search Campaign October,Awareness,Beauty & Personal Care,177.76,9074,282
2024-10-22 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Beauty & Personal Care,54.81,2419,54
2024-10-22 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Awareness,Home & Living,26.78,7548,168
2024-10-23 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Home & Living,62.99,3355,63
2024-10-24 11:48:19.990260,Paid Search,Paid Search Campaign October,Awareness,Food & Beverages,90.49,3169,106
2024-10-24 11:48:19.990260,Display Ads,Display Ads Campaign October,Awareness,Beauty & Personal Care,64.21,9505,261
2024-10-25 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Food & Beverages,112.74,2712,47
2024-10-27 11:48:19.990260,Paid Search,Paid Search Campaign October,Awareness,Apparel,35.43,1460,15
2024-10-27 11:48:19.990260,Social Media,Social Media Campaign October,Conversion,Home & Living,85.41,3027,109
2024-10-27 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign October,Conversion,Apparel,14.7,1188,32
2024-10-28 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Home & Living,155.55,6587,375
2024-10-28 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Conversion,Apparel,36.36,2290,71
2024-10-29 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Beauty & Personal Care,96.33,7816,292
2024-10-30 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign October,Retargeting,Food & Beverages,144.54,1030,49
2024-10-31 11:48:19.990260,Paid Search,Paid Search Campaign October,Retargeting,Home & Living,70.04,761,22
2024-10-31 11:48:19.990260,Social Media,Social Media Campaign October,Awareness,Beauty & Personal Care,120.69,6746,298
2024-10-31 11:48:19.990260,Display Ads,Display Ads Campaign October,Awareness,Apparel,49.96,11596,196
2024-10-31 11:48:19.990260,Email Marketing,Email Marketing Campaign October,Conversion,Electronics,86.59,6502,378
2024-11-01 11:48:19.990260,Display Ads,Display Ads Campaign November,Awareness,Apparel,52.35,3379,76
2024-11-01 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign November,Retargeting,Electronics,153.57,2545,178
2024-11-02 11:48:19.990260,Paid Search,Paid Search Campaign November,Awareness,Food & Beverages,46.69,601,20
2024-11-03 11:48:19.990260,Social Media,Social Media Campaign November,Awareness,Home & Living,61.64,1873,42
2024-11-03 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign November,Conversion,Beauty & Personal Care,114.09,811,33
2024-11-04 11:48:19.990260,Paid Search,Paid Search Campaign November,Awareness,Apparel,161.44,4613,200
2024-11-05 11:48:19.990260,Paid Search,Paid Search Campaign November,Retargeting,Apparel,34.88,925,10
2024-11-05 11:48:19.990260,Email Marketing,Email Marketing Campaign November,Retargeting,Food & Beverages,18.5,2469,43
2024-11-05 11:48:19.990260,Affiliate Marketing,Affiliate Marketing Campaign November,Retargeting,Home & Living,86.2,2482,189
