forecast_date,product_id,site_id,top_category,sub_category,brand,point_forecast,lower_bound,upper_bound,confidence_level,is_promotional,forecast_generated_date,unit_cost,unit_price,expected_revenue,expected_cost,expected_profit
2025-04-01,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-02,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,True,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-03,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-04,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-05,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-06,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,True,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-07,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-08,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,True,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-09,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-10,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-11,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-12,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-13,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-14,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-15,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-16,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-17,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-18,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
2025-04-19,P000001,LOC011,Apparel,Footwear,Gap,0,0,0,0.8,False,2025-04-14,283.9,571.03,0.0,0.0,0.0
