date,product_id,site_id,quantity_sold,forecasted_quantity,absolute_error,percentage_error,squared_error
2024-10-31,P000001,LOC003,6,7,1,16.666666666666664,1
2024-10-31,P000001,LOC004,5,4,1,20.0,1
2024-10-31,P000001,LOC005,4,4,0,0.0,0
2024-10-31,P000001,LOC007,1,1,0,0.0,0
2024-10-31,P000001,LOC008,2,2,0,0.0,0
2024-10-31,P000001,LOC009,7,6,1,14.285714285714285,1
2024-10-31,P000001,LOC011,1,1,0,0.0,0
2024-10-31,P000001,LOC013,3,3,0,0.0,0
2024-10-31,P000001,LOC015,5,6,1,20.0,1
2024-10-31,P000001,LOC016,10,11,1,10.0,1
2024-10-31,P000001,LOC017,8,7,1,12.5,1
2024-10-31,P000001,LOC018,14,13,1,7.142857142857142,1
2024-10-31,P000001,LOC019,7,6,1,14.285714285714285,1
2024-10-31,P000002,LOC001,13,11,2,15.384615384615385,4
2024-10-31,P000002,LOC002,3,3,0,0.0,0
2024-10-31,P000002,LOC003,14,13,1,7.142857142857142,1
2024-10-31,P000002,LOC004,7,8,1,14.285714285714285,1
2024-10-31,P000002,LOC007,3,2,1,33.33333333333333,1
2024-10-31,P000002,LOC008,9,8,1,11.11111111111111,1
2024-10-31,P000002,LOC010,6,6,0,0.0,0
2024-10-31,P000002,LOC013,7,7,0,0.0,0
2024-10-31,P000002,LOC014,4,4,0,0.0,0
2024-10-31,P000002,LOC015,7,6,1,14.285714285714285,1
2024-10-31,P000002,LOC016,2,2,0,0.0,0
2024-10-31,P000002,LOC018,8,9,1,12.5,1
2024-10-31,P000002,LOC020,1,1,0,0.0,0
2024-10-31,P000003,LOC001,5,4,1,20.0,1
2024-10-31,P000003,LOC002,7,7,0,0.0,0
2024-10-31,P000003,LOC004,7,6,1,14.285714285714285,1
2024-10-31,P000003,LOC005,8,9,1,12.5,1
2024-10-31,P000003,LOC006,2,2,0,0.0,0
2024-10-31,P000003,LOC008,5,6,1,20.0,1
2024-10-31,P000003,LOC009,7,7,0,0.0,0
2024-10-31,P000003,LOC012,6,6,0,0.0,0
2024-10-31,P000003,LOC015,12,10,2,16.666666666666664,4
2024-10-31,P000003,LOC016,4,4,0,0.0,0
2024-10-31,P000003,LOC017,6,7,1,16.666666666666664,1
2024-10-31,P000003,LOC018,1,1,0,0.0,0
2024-10-31,P000003,LOC019,4,3,1,25.0,1
2024-10-31,P000003,LOC020,3,3,0,0.0,0
2024-10-31,P000004,LOC001,6,6,0,0.0,0
2024-10-31,P000004,LOC002,10,8,2,20.0,4
2024-10-31,P000004,LOC003,7,7,0,0.0,0
2024-10-31,P000004,LOC004,2,2,0,0.0,0
2024-10-31,P000004,LOC005,4,3,1,25.0,1
2024-10-31,P000004,LOC006,2,2,0,0.0,0
2024-10-31,P000004,LOC007,2,2,0,0.0,0
2024-10-31,P000004,LOC008,3,3,0,0.0,0
2024-10-31,P000004,LOC009,2,2,0,0.0,0
2024-10-31,P000004,LOC010,4,5,1,25.0,1
2024-10-31,P000004,LOC011,4,3,1,25.0,1
2024-10-31,P000004,LOC012,17,18,1,5.88235294117647,1
2024-10-31,P000004,LOC013,20,21,1,5.0,1
2024-10-31,P000004,LOC014,4,5,1,25.0,1
2024-10-31,P000004,LOC015,9,9,0,0.0,0
2024-10-31,P000004,LOC016,3,3,0,0.0,0
2024-10-31,P000004,LOC017,4,4,0,0.0,0
2024-10-31,P000004,LOC018,15,17,2,13.333333333333334,4
2024-10-31,P000004,LOC019,4,4,0,0.0,0
2024-10-31,P000004,LOC020,5,4,1,20.0,1
2024-10-31,P000005,LOC001,5,6,1,20.0,1
2024-10-31,P000005,LOC002,14,15,1,7.142857142857142,1
2024-10-31,P000005,LOC004,5,6,1,20.0,1
2024-10-31,P000005,LOC005,14,14,0,0.0,0
2024-10-31,P000005,LOC006,1,1,0,0.0,0
2024-10-31,P000005,LOC008,6,7,1,16.666666666666664,1
2024-10-31,P000005,LOC009,18,15,3,16.666666666666664,9
2024-10-31,P000005,LOC010,3,3,0,0.0,0
2024-10-31,P000005,LOC011,6,7,1,16.666666666666664,1
2024-10-31,P000005,LOC012,3,3,0,0.0,0
2024-10-31,P000005,LOC014,10,8,2,20.0,4
2024-10-31,P000005,LOC015,9,9,0,0.0,0
2024-10-31,P000005,LOC016,9,8,1,11.11111111111111,1
2024-10-31,P000005,LOC017,7,7,0,0.0,0
2024-10-31,P000005,LOC018,5,5,0,0.0,0
2024-10-31,P000005,LOC019,12,14,2,16.666666666666664,4
2024-10-31,P000005,LOC020,5,5,0,0.0,0
2024-10-31,P000006,LOC001,7,7,0,0.0,0
2024-10-31,P000006,LOC002,1,1,0,0.0,0
2024-10-31,P000006,LOC003,4,5,1,25.0,1
2024-10-31,P000006,LOC004,2,2,0,0.0,0
2024-10-31,P000006,LOC006,1,1,0,0.0,0
2024-10-31,P000006,LOC007,5,6,1,20.0,1
2024-10-31,P000006,LOC009,3,4,1,33.33333333333333,1
2024-10-31,P000006,LOC010,8,9,1,12.5,1
2024-10-31,P000006,LOC011,6,5,1,16.666666666666664,1
2024-10-31,P000006,LOC012,1,1,0,0.0,0
2024-10-31,P000006,LOC013,5,5,0,0.0,0
2024-10-31,P000006,LOC014,13,11,2,15.384615384615385,4
2024-10-31,P000006,LOC015,4,3,1,25.0,1
