date,product_id,site_id,quantity,unit_cost,supplier_id,last_restock_date,reorder_point,max_stock_level
2024-10-02,P000001,LOC001,252,294.57,S0011,2024-09-07,32,867
2024-11-01,P000001,LOC001,254,289.02,S0011,2024-10-11,32,867
2024-12-01,P000001,LOC001,249,271.21,S0011,2024-11-21,32,867
2024-12-31,P000001,LOC001,337,284.17,S0011,2024-12-02,32,867
2025-01-30,P000001,LOC001,352,281.47,S0011,2025-01-09,32,867
2025-03-01,P000001,LOC001,399,275.17,S0011,2025-02-27,32,867
2025-03-31,P000001,LOC001,428,293.89,S0011,2025-03-15,32,867
2024-10-02,P000001,LOC002,314,281.45,S0011,2024-09-22,32,867
2024-11-01,P000001,LOC002,377,282.64,S0011,2024-10-08,32,867
2024-12-01,P000001,LOC002,364,278.11,S0011,2024-11-28,32,867
2024-12-31,P000001,LOC002,391,288.25,S0011,2024-12-09,32,867
2025-01-30,P000001,LOC002,442,277.61,S0011,2025-01-19,32,867
2025-03-01,P000001,LOC002,434,292.02,S0011,2025-02-13,32,867
2025-03-31,P000001,LOC002,386,295.39,S0011,2025-03-17,32,867
2024-10-02,P000001,LOC003,191,289.03,S0011,2024-09-21,32,867
2024-11-01,P000001,LOC003,185,279.07,S0011,2024-10-14,32,867
2024-12-01,P000001,LOC003,230,283.74,S0011,2024-11-09,32,867
2024-12-31,P000001,LOC003,188,271.66,S0011,2024-12-12,32,867
2025-01-30,P000001,LOC003,202,270.15,S0011,2025-01-22,32,867
2025-03-01,P000001,LOC003,293,292.82,S0011,2025-02-13,32,867
2025-03-31,P000001,LOC003,283,278.79,S0011,2025-03-22,32,867
2024-10-02,P000001,LOC004,303,296.6,S0011,2024-09-12,32,867
2024-11-01,P000001,LOC004,379,289.48,S0011,2024-10-25,32,867
2024-12-01,P000001,LOC004,464,281.14,S0011,2024-11-06,32,867
2024-12-31,P000001,LOC004,462,290.86,S0011,2024-12-18,32,867
2025-01-30,P000001,LOC004,423,293.2,S0011,2025-01-24,32,867
2025-03-01,P000001,LOC004,477,272.21,S0011,2025-02-06,32,867
2025-03-31,P000001,LOC004,546,275.32,S0011,2025-03-21,32,867
2024-10-02,P000001,LOC005,240,290.98,S0011,2024-09-06,32,867
2024-11-01,P000001,LOC005,277,272.04,S0011,2024-10-18,32,867
2024-12-01,P000001,LOC005,307,296.76,S0011,2024-11-18,32,867
2024-12-31,P000001,LOC005,320,270.44,S0011,2024-12-26,32,867
2025-01-30,P000001,LOC005,348,286.95,S0011,2025-01-17,32,867
2025-03-01,P000001,LOC005,387,277.09,S0011,2025-02-04,32,867
2025-03-31,P000001,LOC005,356,274.15,S0011,2025-03-21,32,867
2024-10-02,P000001,LOC006,317,273.77,S0011,2024-09-12,32,867
2024-11-01,P000001,LOC006,324,291.83,S0011,2024-10-28,32,867
2024-12-01,P000001,LOC006,414,271.34,S0011,2024-11-02,32,867
2024-12-31,P000001,LOC006,474,282.92,S0011,2024-12-19,32,867
2025-01-30,P000001,LOC006,431,275.39,S0011,2025-01-22,32,867
2025-03-01,P000001,LOC006,502,281.34,S0011,2025-02-19,32,867
2025-03-31,P000001,LOC006,598,277.68,S0011,2025-03-03,32,867
2024-10-02,P000001,LOC007,239,284.89,S0011,2024-09-02,32,867
2024-11-01,P000001,LOC007,248,271.7,S0011,2024-10-06,32,867
2024-12-01,P000001,LOC007,318,274.46,S0011,2024-11-30,32,867
2024-12-31,P000001,LOC007,378,272.51,S0011,2024-12-14,32,867
2025-01-30,P000001,LOC007,379,272.84,S0011,2024-12-31,32,867
2025-03-01,P000001,LOC007,387,286.0,S0011,2025-02-28,32,867
2025-03-31,P000001,LOC007,422,274.96,S0011,2025-03-10,32,867
2024-10-02,P000001,LOC008,246,276.29,S0011,2024-09-08,32,867
2024-11-01,P000001,LOC008,201,282.54,S0011,2024-10-29,32,867
2024-12-01,P000001,LOC008,172,292.6,S0011,2024-11-21,32,867
2024-12-31,P000001,LOC008,242,289.14,S0011,2024-12-29,32,867
2025-01-30,P000001,LOC008,197,283.61,S0011,2025-01-17,32,867
2025-03-01,P000001,LOC008,297,296.12,S0011,2025-02-17,32,867
2025-03-31,P000001,LOC008,254,278.74,S0011,2025-03-14,32,867
2024-10-02,P000001,LOC009,204,273.16,S0011,2024-09-20,32,867
2024-11-01,P000001,LOC009,163,284.45,S0011,2024-10-14,32,867
2024-12-01,P000001,LOC009,174,283.34,S0011,2024-11-02,32,867
2024-12-31,P000001,LOC009,172,292.7,S0011,2024-12-21,32,867
2025-01-30,P000001,LOC009,140,293.69,S0011,2025-01-18,32,867
2025-03-01,P000001,LOC009,237,283.23,S0011,2025-02-03,32,867
2025-03-31,P000001,LOC009,305,274.97,S0011,2025-03-23,32,867
2024-10-02,P000001,LOC010,206,276.6,S0011,2024-09-14,32,867
2024-11-01,P000001,LOC010,301,288.99,S0011,2024-10-26,32,867
2024-12-01,P000001,LOC010,367,290.33,S0011,2024-11-18,32,867
2024-12-31,P000001,LOC010,397,291.93,S0011,2024-12-19,32,867
2025-01-30,P000001,LOC010,362,285.5,S0011,2025-01-18,32,867
2025-03-01,P000001,LOC010,417,272.03,S0011,2025-02-28,32,867
2025-03-31,P000001,LOC010,487,287.68,S0011,2025-03-26,32,867
2024-10-02,P000001,LOC011,274,296.99,S0011,2024-09-19,32,867
2024-11-01,P000001,LOC011,290,281.91,S0011,2024-10-05,32,867
2024-12-01,P000001,LOC011,310,297.77,S0011,2024-11-14,32,867
2024-12-31,P000001,LOC011,314,279.45,S0011,2024-12-13,32,867
2025-01-30,P000001,LOC011,305,290.53,S0011,2025-01-24,32,867
2025-03-01,P000001,LOC011,360,275.21,S0011,2025-02-16,32,867
2025-03-31,P000001,LOC011,327,295.12,S0011,2025-03-20,32,867
2024-10-02,P000001,LOC012,194,284.6,S0011,2024-09-27,32,867
2024-11-01,P000001,LOC012,177,292.17,S0011,2024-10-31,32,867
2024-12-01,P000001,LOC012,220,291.04,S0011,2024-11-23,32,867
2024-12-31,P000001,LOC012,291,280.66,S0011,2024-12-17,32,867
2025-01-30,P000001,LOC012,299,270.18,S0011,2025-01-10,32,867
2025-03-01,P000001,LOC012,363,292.8,S0011,2025-02-18,32,867
