date,product_id,site_id,quantity_sold,revenue,cost,profit,top_category,sub_category,brand
2024-10-02,HP Visit Gaming,LOC017,3,606.969,424.083,182.88600000000002,Electronics,Gaming,HP
2024-10-02,Dove When Makeup,LOC017,3,3132.525,1778.799,1353.726,Beauty & Personal Care,Makeup,Dove
2024-10-02,Coca-Cola Drug Snacks,LOC017,2,201.65200000000002,136.092,65.56,Food & Beverages,Snacks,Coca-Cola
2024-10-02,Dell Interview Audio Devices,LOC017,1,255.39800000000002,146.77300000000002,108.625,Electronics,Audio Devices,Dell
2024-10-02,Levi's Play Footwear,LOC017,2,1275.252,603.3720000000001,671.8799999999999,Apparel,Footwear,Levi's
2024-10-02,Samsung Traditional Audio Devices,LOC017,5,2322.54,1248.28,1074.26,Electronics,Audio Devices,Samsung
2024-10-02,Crate & Barrel Course Storage,LOC017,2,2001.0760000000002,1259.808,741.2680000000003,Home & Living,Storage,Crate & Barrel
2024-10-02,Dove Realize Skincare,LOC017,1,1039.544,556.897,482.64700000000005,Beauty & Personal Care,Skincare,Dove
2024-10-02,Levi's Best Footwear,LOC017,1,684.354,319.04400000000004,365.31,Apparel,Footwear,Levi's
2024-10-02,MAC Black Makeup,LOC017,2,1875.1040000000003,944.9000000000001,930.2040000000002,Beauty & Personal Care,Makeup,MAC
2024-10-02,L'Oreal Choice Personal Hygiene,LOC017,1,877.3380000000001,498.872,378.46600000000007,Beauty & Personal Care,Personal Hygiene,L'Oreal
2024-10-02,MAC Black Makeup,LOC017,1,937.5520000000001,472.45000000000005,465.1020000000001,Beauty & Personal Care,Makeup,MAC
2024-10-02,Sony Mention Laptops,LOC017,4,3215.564,2089.032,1126.5319999999997,Electronics,Laptops,Sony
2024-10-02,Dove Whatever Haircare,LOC017,4,860.464,576.0920000000001,284.37199999999996,Beauty & Personal Care,Haircare,Dove
2024-10-02,Maybelline Draw Fragrances,LOC017,4,3670.5240000000003,2162.6000000000004,1507.924,Beauty & Personal Care,Fragrances,Maybelline
2024-10-02,Nestle Challenge Confectionery,LOC017,5,1876.16,984.72,891.44,Food & Beverages,Confectionery,Nestle
2024-10-02,MAC Represent Makeup,LOC017,4,1494.064,793.892,700.172,Beauty & Personal Care,Makeup,MAC
2024-10-02,Dell Race Smartphones,LOC001,4,4084.2560000000003,1816.76,2267.496,Electronics,Smartphones,Dell
2024-10-02,Dell Race Smartphones,LOC001,2,2042.1280000000002,908.38,1133.748,Electronics,Smartphones,Dell
