age_segment,top_category,revenue,quantity,total_amount
Baby Boomers,Apparel,2351584.5,5334,1330.83
Baby Boomers,Beauty & Personal Care,3162262.55,5271,1832.13
Baby Boomers,Electronics,2546927.99,6172,1230.99
Baby Boomers,Food & Beverages,2391473.2,5788,1230.18
Baby Boomers,Home & Living,3264094.14,6329,1559.53
Gen X,Apparel,2418409.18,5490,1324.43
Gen X,Beauty & Personal Care,2924676.14,5232,1683.75
Gen X,Electronics,2535538.98,6437,1181.52
Gen X,Food & Beverages,2342553.88,5944,1186.1
Gen X,Home & Living,3206825.93,6601,1453.02
Gen Z,Apparel,2604426.7,6719,1167.38
Gen Z,Beauty & Personal Care,3017683.87,5759,1608.57
Gen Z,Electronics,2284710.5,6455,1049.48
Gen Z,Food & Beverages,1676362.58,4877,1043.16
Gen Z,Home & Living,2163380.21,4804,1347.9
Millennials,Apparel,2430120.82,5690,1279.01
Millennials,Beauty & Personal Care,2958804.47,5184,1704.38
Millennials,Electronics,2387055.71,5999,1175.89
Millennials,Food & Beverages,2355289.31,5869,1224.8
Millennials,Home & Living,2988895.18,5975,1510.31
