date,product_id,product_name,top_category,sub_category,age_segment,channel,quantity,unit_price,total_amount,revenue
2024-10-02 12:03:58.260205,P000005,LG Action Laptops,Electronics,Laptops,Gen Z,Social Media,5,185.17,925.84,925.8499999999999
2024-10-02 12:03:58.260205,P000098,HP Find Smartphones,Electronics,Smartphones,Gen Z,Social Media,4,589.09,2356.36,2356.36
2024-10-02 12:03:58.260205,P000047,Samsung Interesting Smartphones,Electronics,Smartphones,Gen Z,Social Media,3,119.97,359.92,359.90999999999997
2024-10-02 12:03:58.260205,P000014,Dell Race Smartphones,Electronics,Smartphones,Gen Z,Social Media,3,874.93,2624.79,2624.79
2024-10-02 12:03:58.260205,P000017,LG Commercial Gaming,Electronics,Gaming,Gen Z,Social Media,3,496.49,1489.48,1489.47
2024-10-02 12:03:58.260205,P000065,Samsung From Gaming,Electronics,Gaming,Gen Z,Social Media,2,361.53,723.07,723.06
2024-10-02 12:03:58.260205,P000010,HP Visit Gaming,Electronics,Gaming,Gen Z,Social Media,2,151.46,302.91,302.92
2024-10-02 12:03:58.260205,P000069,HP Seat Laptops,Electronics,Laptops,Gen Z,Social Media,3,710.06,2130.19,2130.18
2024-10-02 12:03:58.260205,P000059,Apple Today Gaming,Electronics,Gaming,Gen Z,Social Media,1,185.16,185.16,185.16
2024-10-02 12:03:58.260205,P000094,Nestle Challenge Confectionery,Food & Beverages,Confectionery,Gen Z,Social Media,4,292.52,1170.06,1170.08
2024-10-02 12:03:58.260205,P000052,Kraft Fall Confectionery,Food & Beverages,Confectionery,Gen Z,Social Media,2,137.77,275.55,275.54
2024-10-02 12:03:58.260205,P000097,Kraft Decision Beverages,Food & Beverages,Beverages,Gen Z,Social Media,1,661.52,661.52,661.52
2024-10-02 12:03:58.260205,P000073,PepsiCo Hotel Beverages,Food & Beverages,Beverages,Gen Z,Social Media,3,112.24,336.73,336.71999999999997
2024-10-02 12:03:58.260205,P000025,Maybelline Relationship Skincare,Beauty & Personal Care,Skincare,Gen Z,Paid Search,2,893.74,1787.47,1787.48
2024-10-02 12:03:58.260205,P000022,Maybelline Fear Skincare,Beauty & Personal Care,Skincare,Gen Z,Paid Search,3,268.06,804.17,804.1800000000001
2024-10-02 12:03:58.260205,P000027,Dove Realize Skincare,Beauty & Personal Care,Skincare,Gen Z,Paid Search,1,796.19,796.19,796.19
2024-10-02 12:03:58.260205,P000015,Maybelline Ahead Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Gen Z,Paid Search,1,678.88,678.88,678.88
