product_id,product_name,primary_supplier_id,primary_supplier_name,primary_supplier_country,primary_supplier_tariff,backup_supplier_id,backup_supplier_name,backup_supplier_country,backup_supplier_tariff,last_purchase_date,last_purchase_price,payment_terms,standard_lead_time
P000001,Gap Month Footwear,S0011,"Drake, Johnson and Martinez Ltd.",Poland,7.69,S0003,"White, Harmon and Hull Industries",Italy,8.49,2025-03-03,290.71,60,92
P000002,L'Oreal Public Haircare,S0027,Thompson LLC Industries,Netherlands,8.36,S0029,Garrett Group Inc.,Canada,0.6,2024-12-11,329.69,90,55
P000003,IKEA Letter Decor,S0009,Rodgers PLC Industries,Spain,13.35,S0030,Wilson-Gonzalez Corp.,USA,6.58,2025-02-09,550.09,45,68
P000004,Levi's Middle Kids' Clothing,S0021,Jimenez LLC Industries,Colombia,19.82,S0024,"Allison, Parker and Aguilar International",Chile,10.92,2024-08-08,449.99,90,71
P000005,LG Action Laptops,S0021,Jimenez LLC Industries,Colombia,19.82,S0016,Mcpherson LLC Ltd.,Italy,13.96,2024-08-14,98.19,90,71
P000006,MAC Represent Makeup,S0024,"Allison, Parker and Aguilar International",Chile,10.92,S0019,Davis LLC Corp.,France,8.79,2024-09-12,183.2,90,48
P000007,HomeDepot Lead Storage,S0026,"Watson, Church and Robinson Ltd.",Malaysia,6.72,S0016,Mcpherson LLC Ltd.,Italy,13.96,2025-02-18,12.91,45,92
P000008,IKEA Beautiful Storage,S0028,Taylor-Hamilton International,Poland,8.52,S0023,"Johnson, Yoder and Miller Ltd.",Canada,7.79,2024-10-31,128.27,30,110
P000009,Nestle Across Health Foods,S0007,Smith-Lawrence Ltd.,Bangladesh,24.87,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,2025-03-16,306.71,45,49
P000010,HP Visit Gaming,S0024,"Allison, Parker and Aguilar International",Chile,10.92,S0013,Martin-Myers Corp.,USA,6.68,2025-01-28,131.95,90,48
P000011,Nivea Yard Makeup,S0029,Garrett Group Inc.,Canada,0.6,S0001,Jones Inc Inc.,Spain,12.4,2024-11-06,396.56,45,74
P000012,H&M Hard Kids' Clothing,S0022,Anderson Ltd Inc.,Malaysia,20.09,S0021,Jimenez LLC Industries,Colombia,19.82,2024-10-23,434.5,60,114
P000013,Wayfair Player Furniture,S0025,"Burns, Lowe and Johnson Ltd.",Germany,3.23,S0006,Hall Inc Ltd.,Indonesia,19.39,2025-04-02,469.96,90,61
P000014,Dell Race Smartphones,S0024,"Allison, Parker and Aguilar International",Chile,10.92,S0027,Thompson LLC Industries,Netherlands,8.36,2024-05-22,433.34,90,48
P000015,Maybelline Ahead Personal Hygiene,S0025,"Burns, Lowe and Johnson Ltd.",Germany,3.23,S0018,"Boyd, Roberts and Gutierrez Industries",Mexico,6.24,2024-12-16,564.7,90,61
P000016,Adidas By Footwear,S0019,Davis LLC Corp.,France,8.79,S0004,Obrien-Bell Industries,Mexico,2.48,2024-06-10,62.42,90,85
