feedback_id,order_id,customer_id,rating,comment,feedback_date,category
FB000001,ORD0000004,CUS000080,2,Help executive market production. Hear writer drive mind situation report still.,2024-10-14,Customer Service
FB000002,ORD0000007,CUS000028,1,Social table per article yet production red east. National marriage drug someone month building.,2024-10-10,Delivery Speed
FB000003,ORD0000009,CUS000074,5,"Fish federal explain site would late. Add down door husband soon.
Space rise enough director. Address home poor. Teacher religious leave your then order. Population bill people party political.",2024-10-21,Customer Service
FB000004,ORD0000016,CUS000090,1,"Manage across include PM. Lot American relate decade. Market answer hope price matter medical.
Operation thousand PM off respond tax.",2024-10-16,Delivery Speed
FB000005,ORD0000017,CUS000040,5,"Garden red enjoy. However admit clear lose claim. During simply ok.
Almost all happen just yet exactly garden education. Wish return with together all.",2024-10-10,Overall Experience
FB000006,ORD0000018,CUS000075,3,"Fall star perhaps light. Side not treat rock student. Sing cup wonder girl view source per.
Control next keep court bag over. Dinner among culture particular TV reality must painting.",2024-10-14,Delivery Speed
FB000007,ORD0000027,CUS000008,5,Traditional specific boy purpose TV. Benefit business travel cultural later again simple. Suffer see federal report.,2024-10-17,Customer Service
FB000008,ORD0000029,CUS000044,2,Order remain owner cut author pick election rate. Throw Republican both quite easy compare according police.,2024-10-18,Overall Experience
FB000009,ORD0000036,CUS000091,3,Stop might citizen Republican. Perhaps director build. Pressure a on own once politics camera enough.,2024-10-16,Customer Service
FB000010,ORD0000040,CUS000002,5,"Miss base determine return about allow. Peace try camera outside new weight.
Machine leader truth strategy participant. Seek no up clear sit company consider.",2024-10-08,Product Quality
FB000011,ORD0000044,CUS000091,4,"House window ground both threat eight. Book upon work material parent yourself.
Door yeah politics million election film religious your. Outside system miss tonight rock.",2024-10-08,Customer Service
FB000012,ORD0000049,CUS000010,3,"Cell however choose imagine a. Skill early since reflect choose place. Bank rich include really actually despite.
Need south during evidence glass. News interview budget.",2024-10-10,Customer Service
FB000013,ORD0000061,CUS000053,3,National former husband forward work show husband. Worker water deep agreement figure trip win student.,2024-10-13,Delivery Speed
FB000014,ORD0000062,CUS000023,3,"Where born agent trial natural first such. Blue ahead value something your my economy. Section necessary spend.
Research process necessary. American start cut maybe off.",2024-10-10,Customer Service
FB000015,ORD0000071,CUS000047,1,"Maintain suggest beautiful right agency. Tree player any our house decade. Election whatever staff point interview walk late.
Throughout news center. Hundred writer child air among phone peace.",2024-10-10,Customer Service
FB000016,ORD0000072,CUS000014,1,Level behind offer try. Benefit design several call join authority special indicate.,2024-10-14,Customer Service
FB000017,ORD0000073,CUS000014,5,"Final simply answer safe card election report college. North girl you analysis own.
Step necessary thousand oil.",2024-10-23,Customer Service
FB000018,ORD0000074,CUS000066,4,"Doctor each throughout class score southern. Several ever product poor. Campaign change herself present alone believe perform.
Election way specific lawyer.
Feel apply pressure other.",2024-10-14,Product Quality
FB000019,ORD0000078,CUS000025,4,Then shake successful land see. Store world bring according. Dog protect exist score tough after glass. Across walk whether.,2024-10-17,Delivery Speed
FB000020,ORD0000080,CUS000022,2,"Remain activity room. House play as owner. All expert look.
Improve movie wear figure. Tell security try entire three if specific commercial.",2024-10-14,Overall Experience
FB000021,ORD0000081,CUS000004,5,"Write amount along foot matter. Write boy establish them former air address.
Friend strategy fish kind unit would why. President sometimes despite animal.",2024-10-13,Product Quality
FB000022,ORD0000082,CUS000035,2,"Second debate art lay father difference west. Hotel ok crime newspaper tend become pretty.
Author share different attention TV.
Something should both. Ball second me test man let nearly.",2024-10-13,Product Quality
FB000023,ORD0000085,CUS000001,3,Blood design special stand activity. History source up agency explain position. Day very certainly throughout.,2024-10-21,Delivery Speed
FB000024,ORD0000091,CUS000070,2,"Program water win family performance watch special. Sense hold behavior.
See field everyone. According set list site loss miss. Deep interest deep.",2024-10-18,Overall Experience
FB000025,ORD0000093,CUS000080,4,"Both protect picture there figure next. Month model increase.
Law heavy write necessary safe. Pass town recent family size research. Enter they front major case huge care.",2024-10-23,Delivery Speed
FB000026,ORD0000098,CUS000041,4,"Claim girl special television rise them. What reflect kind hot condition population. Suddenly space beyond continue movie. Question call last.
Sport against left allow address to budget.",2024-10-17,Product Quality
FB000027,ORD0000104,CUS000052,5,Tonight throughout respond finally pressure case easy job. Maybe edge left role decide add. End thank none fall speech money.,2024-10-17,Overall Experience
FB000028,ORD0000109,CUS000014,2,Trip budget several idea movement education watch. Health toward society six drive involve.,2024-10-26,Customer Service
FB000029,ORD0000115,CUS000090,4,"Exactly almost image message. Eat hit term society focus.
Almost during pull success. Care question field who high official.",2024-10-18,Product Quality
FB000030,ORD0000121,CUS000047,4,"Whether your great federal enter. Goal avoid science machine room economy. Take last base very.
Speak trial cultural maintain hour.",2024-10-17,Customer Service
FB000031,ORD0000127,CUS000057,4,Why around meet. Different create whole deal happy institution president bit. No trip rate PM you. Contain according operation.,2024-10-22,Overall Experience
FB000032,ORD0000129,CUS000075,5,Statement national such military data. Which worker here inside military source. Large usually available involve admit security project. Two next early Mrs.,2024-10-24,Customer Service
FB000033,ORD0000136,CUS000066,3,"Participant prevent theory inside. Civil whatever room attention success have on.
Type baby find religious science once even car. Laugh south recognize skin support letter.",2024-10-20,Customer Service
FB000034,ORD0000140,CUS000082,1,"Southern economy window give admit tend team. Film fall activity physical.
Carry also third be media. Order scientist or year.",2024-10-23,Product Quality
FB000035,ORD0000141,CUS000093,2,"Somebody kid decision ago cause religious.
Available cover kitchen interesting buy. Behavior someone least challenge along section. Hear stop time race wish once trial risk.",2024-10-22,Overall Experience
FB000036,ORD0000142,CUS000069,5,"Then once risk upon ago ever matter everyone. Region dinner forget south myself reality seek.
Inside give finish large assume key person. Report age thus assume name. House eat say level.",2024-10-22,Delivery Speed
FB000037,ORD0000145,CUS000049,2,Beyond today deal born both eye approach part. Room off either.,2024-10-21,Product Quality
