order_id,product_id,quantity,unit_price,item_total
ORD0000001,P000080,1,425.06,425.06
ORD0000001,P000049,4,397.95,1591.8
ORD0000001,P000099,1,579.66,579.66
ORD0000001,P000095,2,544.11,1088.22
ORD0000002,P000079,2,565.57,1131.14
ORD0000002,P000081,4,834.21,3336.84
ORD0000002,P000093,2,475.81,951.62
ORD0000002,P000018,5,261.78,1308.8999999999999
ORD0000003,P000010,3,183.93,551.79
ORD0000003,P000025,5,985.57,4927.85
ORD0000003,P000013,2,877.54,1755.08
ORD0000004,P000031,1,91.66,91.66
ORD0000004,P000061,5,422.28,2111.3999999999996
ORD0000004,P000028,3,132.06,396.18
ORD0000004,P000011,2,600.73,1201.46
ORD0000004,P000025,4,985.57,3942.28
ORD0000005,P000014,4,928.24,3712.96
ORD0000006,P000053,3,53.27,159.81
ORD0000006,P000025,1,985.57,985.57
ORD0000006,P000078,3,475.26,1425.78
ORD0000007,P000012,3,770.03,2310.09
ORD0000007,P000090,2,890.09,1780.18
ORD0000008,P000010,4,183.93,735.72
ORD0000008,P000086,4,949.25,3797.0
ORD0000008,P000031,3,91.66,274.98
ORD0000008,P000043,1,232.18,232.18
ORD0000008,P000099,2,579.66,1159.32
ORD0000009,P000060,4,606.3,2425.2
ORD0000010,P000082,1,797.58,797.58
ORD0000010,P000040,1,852.32,852.32
ORD0000011,P000008,1,237.9,237.9
ORD0000012,P000014,4,928.24,3712.96
ORD0000013,P000065,2,392.5,785.0
ORD0000013,P000088,5,730.81,3654.0499999999997
ORD0000014,P000026,1,78.71,78.71
ORD0000014,P000065,5,392.5,1962.5
ORD0000014,P000085,1,591.78,591.78
ORD0000015,P000053,1,53.27,53.27
ORD0000015,P000007,2,20.07,40.14
ORD0000015,P000088,3,730.81,2192.43
ORD0000015,P000020,2,15.55,31.1
ORD0000016,P000023,2,670.32,1340.64
ORD0000016,P000071,3,59.2,177.60000000000002
ORD0000016,P000080,3,425.06,1275.18
ORD0000016,P000049,4,397.95,1591.8
ORD0000016,P000030,4,991.47,3965.88
ORD0000017,P000013,1,877.54,877.54
ORD0000017,P000032,3,837.84,2513.52
ORD0000017,P000075,4,438.9,1755.6
ORD0000017,P000015,1,803.01,803.01
ORD0000017,P000046,1,580.21,580.21
ORD0000018,P000067,3,296.04,888.1200000000001
ORD0000018,P000039,1,929.35,929.35
ORD0000018,P000016,5,108.84,544.2
ORD0000018,P000043,2,232.18,464.36
ORD0000018,P000021,4,482.67,1930.68
ORD0000019,P000008,4,237.9,951.6
ORD0000019,P000075,4,438.9,1755.6
ORD0000019,P000044,4,446.54,1786.16
ORD0000020,P000049,5,397.95,1989.75
ORD0000020,P000008,5,237.9,1189.5
ORD0000020,P000034,1,927.37,927.37
ORD0000020,P000004,2,709.94,1419.88
ORD0000020,P000032,4,837.84,3351.36
ORD0000021,P000068,3,453.04,1359.1200000000001
ORD0000021,P000080,4,425.06,1700.24
ORD0000021,P000036,3,225.58,676.74
ORD0000021,P000059,2,225.97,451.94
ORD0000021,P000095,4,544.11,2176.44
ORD0000022,P000003,1,924.38,924.38
ORD0000022,P000035,5,248.76,1243.8
ORD0000023,P000073,1,122.71,122.71
ORD0000024,P000067,5,296.04,1480.2
ORD0000024,P000051,4,250.57,1002.28
ORD0000025,P000031,5,91.66,458.29999999999995
ORD0000025,P000056,5,195.56,977.8
ORD0000025,P000012,2,770.03,1540.06
ORD0000026,P000035,5,248.76,1243.8
ORD0000027,P000100,2,776.96,1553.92
ORD0000027,P000046,5,580.21,2901.05
ORD0000027,P000035,4,248.76,995.04
ORD0000027,P000028,5,132.06,660.3
ORD0000027,P000033,4,644.39,2577.56
ORD0000028,P000053,1,53.27,53.27
ORD0000028,P000062,2,745.88,1491.76
ORD0000028,P000009,5,462.25,2311.25
ORD0000028,P000019,4,941.21,3764.84
ORD0000028,P000044,2,446.54,893.08
ORD0000029,P000080,3,425.06,1275.18
ORD0000029,P000010,2,183.93,367.86
ORD0000029,P000012,2,770.03,1540.06
ORD0000030,P000075,5,438.9,2194.5
ORD0000030,P000075,4,438.9,1755.6
ORD0000031,P000018,3,261.78,785.3399999999999
ORD0000031,P000022,5,294.77,1473.85
ORD0000031,P000035,2,248.76,497.52
ORD0000031,P000044,3,446.54,1339.6200000000001
ORD0000032,P000022,1,294.77,294.77
ORD0000033,P000071,4,59.2,236.8
ORD0000033,P000072,2,841.35,1682.7
ORD0000033,P000078,2,475.26,950.52
ORD0000033,P000095,1,544.11,544.11
ORD0000033,P000042,3,274.71,824.1299999999999
ORD0000034,P000067,1,296.04,296.04
ORD0000034,P000075,3,438.9,1316.6999999999998
ORD0000034,P000045,5,711.71,3558.55
ORD0000034,P000044,3,446.54,1339.6200000000001
ORD0000034,P000094,2,341.12,682.24
ORD0000035,P000064,2,135.37,270.74
ORD0000035,P000040,5,852.32,4261.6
ORD0000035,P000082,3,797.58,2392.7400000000002
ORD0000036,P000051,2,250.57,501.14
ORD0000036,P000063,2,73.02,146.04
ORD0000036,P000012,4,770.03,3080.12
ORD0000037,P000079,2,565.57,1131.14
ORD0000038,P000099,5,579.66,2898.2999999999997
ORD0000038,P000024,2,33.52,67.04
ORD0000038,P000069,2,822.37,1644.74
ORD0000039,P000009,1,462.25,462.25
ORD0000040,P000006,2,339.56,679.12
ORD0000040,P000098,4,647.23,2588.92
ORD0000041,P000061,2,422.28,844.56
ORD0000041,P000049,3,397.95,1193.85
ORD0000042,P000068,3,453.04,1359.1200000000001
ORD0000043,P000042,1,274.71,274.71
ORD0000043,P000016,1,108.84,108.84
ORD0000043,P000024,1,33.52,33.52
ORD0000043,P000095,4,544.11,2176.44
ORD0000043,P000029,2,96.26,192.52
ORD0000044,P000013,5,877.54,4387.7
ORD0000044,P000073,1,122.71,122.71
ORD0000044,P000046,4,580.21,2320.84
ORD0000045,P000058,1,473.76,473.76
ORD0000046,P000073,2,122.71,245.42
ORD0000046,P000080,5,425.06,2125.3
ORD0000046,P000002,5,665.5,3327.5
ORD0000046,P000013,1,877.54,877.54
ORD0000046,P000094,2,341.12,682.24
ORD0000047,P000058,2,473.76,947.52
ORD0000047,P000083,1,854.01,854.01
ORD0000048,P000049,3,397.95,1193.85
ORD0000048,P000024,3,33.52,100.56
ORD0000048,P000091,3,204.84,614.52
ORD0000048,P000090,5,890.09,4450.45
ORD0000048,P000066,3,382.36,1147.08
ORD0000049,P000076,2,171.21,342.42
ORD0000049,P000077,4,909.58,3638.32
ORD0000050,P000048,2,294.63,589.26
ORD0000050,P000016,5,108.84,544.2
ORD0000050,P000058,3,473.76,1421.28
ORD0000050,P000067,1,296.04,296.04
ORD0000050,P000069,2,822.37,1644.74
ORD0000051,P000021,5,482.67,2413.35
ORD0000051,P000053,3,53.27,159.81
ORD0000051,P000015,3,803.01,2409.0299999999997
ORD0000052,P000068,5,453.04,2265.2000000000003
ORD0000053,P000049,3,397.95,1193.85
ORD0000053,P000024,1,33.52,33.52
ORD0000053,P000073,1,122.71,122.71
ORD0000053,P000079,1,565.57,565.57
ORD0000054,P000022,1,294.77,294.77
ORD0000055,P000100,4,776.96,3107.84
ORD0000055,P000089,2,385.38,770.76
ORD0000055,P000065,1,392.5,392.5
ORD0000056,P000042,4,274.71,1098.84
ORD0000057,P000026,4,78.71,314.84
ORD0000057,P000043,5,232.18,1160.9
ORD0000057,P000015,2,803.01,1606.02
ORD0000058,P000029,3,96.26,288.78000000000003
ORD0000058,P000043,4,232.18,928.72
ORD0000058,P000016,1,108.84,108.84
ORD0000059,P000094,1,341.12,341.12
ORD0000059,P000072,3,841.35,2524.05
ORD0000059,P000035,3,248.76,746.28
ORD0000060,P000087,2,16.49,32.98
ORD0000060,P000049,5,397.95,1989.75
ORD0000061,P000020,3,15.55,46.650000000000006
ORD0000061,P000020,1,15.55,15.55
ORD0000061,P000039,5,929.35,4646.75
ORD0000061,P000067,5,296.04,1480.2
ORD0000062,P000009,1,462.25,462.25
ORD0000063,P000046,3,580.21,1740.63
ORD0000063,P000036,3,225.58,676.74
